frsyear,ukda,household,benunit,adult,child,gross_variable_drop,rooms_variable_drop
2023,UKDA-9367-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2022,UKDA-9252-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2021,UKDA-9073-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2020,UKDA-8948-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2019,UKDA-8802-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2018,UKDA-8633-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2017,UKDA-8460-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2016,UKDA-8336-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2015,UKDA-8171-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2014,UKDA-8013-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2013,UKDA-7753-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2012,UKDA-7556-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2011,UKDA-7368-spss,househol.sav,benunit.sav,adult.sav,child.sav,gross3,rooms
2010,UKDA-7085-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2009,UKDA-6886-spss,househol.sav,benunit.sav,adult.sav,child.sav,None,rooms
2006,UKDA-6079-spss,househol.sav,benunit.sav,adult.sav,child.sav,gross3,None
2003,UKDA-5139-spss,househol.sav,benunit.sav,adult.sav,child.sav,gross3,None
2000,UKDA-4498-spss,househol.por,benunit.sav,adult.por,child.por,None,None
1997,UKDA-4068-spss,househol.por,benunit.sav,adult.por,child.por,None,None